Credit_Card_Number,Credit_Limit,Available_Balance,Spending_Score,Last_Transaction_Amount
1523809042611635,11296.12,4939.58,71,997.53
1566644413142286,17585.97,18125.09,6,1469.75
2113164382590023,14912.27,4990.92,77,1185.42
1473600017247252,16324.66,5438.99,55,4742.51
5739335117215865,13516.88,15187.97,66,4723.33
5294495278986454,14153.25,8994.8,15,3049.71
9603998287386058,17134.72,15534.21,82,4622.61
9365459559542132,5743.69,1307.32,50,3929.06
1752491768769383,10299.07,9751.42,81,2949.74
2194720963371138,5202.98,672.27,79,32.18
2414612145732916,19765.69,1253.06,71,3862.58
4381005651339607,18937.13,18128.75,96,3512.44
8588743091649949,1749.11,2784.91,11,3076.27
8840776334805377,14405.93,10648.41,52,3802.12
4400514553353147,18579.72,8221.91,74,2564.61
6516338387960992,4430.93,6946.87,4,3520.42
1793622389017913,11790.96,17996.67,26,4675.86
7315685014608124,18394.28,436.47,11,1879.03
6615115787791192,1644.97,13275.79,16,3540.61
4938659063013850,14250.99,19267.89,5,2378.44
1673151941691902,6649.63,11203.36,96,3372.0
7155792142190591,18563.53,18736.45,4,3814.47
3812396012309179,19450.11,1045.16,56,227.26
3783753987876622,18941.06,8375.87,27,3233.0
1282287114681277,10010.07,5203.16,77,1133.71
1363588817423293,17378.81,14616.42,68,3350.16
9393888157468523,17046.44,19625.94,58,2341.65
2370227639387379,7062.91,5130.6,32,3867.76
3387312331572728,16749.39,13083.49,61,617.0
2174840457629156,1703.15,3961.95,49,3131.61
3268510158365318,12329.13,11306.61,18,1392.35
3102354066533192,5370.17,9278.65,85,4264.91
3032610509673745,3290.77,19440.11,68,4641.92
3860396431286872,2462.11,12170.55,65,4981.99
6534097844971533,14229.49,6990.13,93,3980.04
6384245672060921,7457.62,2281.92,46,3768.67
8647137799495001,14770.57,3024.94,38,1077.5
1292694422969217,2241.77,4506.34,67,1680.04
3785420470638683,6990.52,5019.33,32,2328.41
4893846054951867,11250.33,17012.32,12,3866.91
9415415510810027,16023.74,11224.46,83,4574.83
2101697049707271,7056.3,10467.82,53,945.7
4852337301004322,12891.94,2295.38,6,4611.84
3595729589439568,17833.58,17202.79,78,3478.12
9839674838058545,12701.4,14456.29,86,3053.85
8616762671488387,5426.23,1353.37,13,999.21
4461268725236733,1463.61,14156.7,86,277.63
1894475077134901,17531.88,10870.76,18,2842.32
6968602525388547,1404.12,1634.51,53,3257.58
6241599697364444,17619.33,9166.01,92,1053.91
7388982218750353,11049.81,9693.93,19,2782.28
5251645892564523,18842.29,3315.49,28,4282.47
1845118117023945,16176.88,18913.96,23,4175.33
6462089983951843,19960.75,16999.51,81,4636.78
5495962004160350,7663.52,13380.45,62,1829.43
9993108869524750,15576.58,9245.91,73,1590.25
3095426799443405,8636.69,8235.31,56,3747.13
4358829871195387,10117.64,13019.47,7,2155.56
6633867349188285,12922.6,10908.64,89,437.74
3490564967882452,17599.87,1245.46,61,1414.01
1099848314445548,19697.59,10250.05,28,2092.91
7510558558372718,15597.19,16128.07,73,1462.58
3291608090661655,8937.57,9184.8,16,1661.03
6681837856454872,9005.78,1039.13,65,1468.88
4187465341278395,15014.06,15725.56,5,207.5
4977463024050668,5536.77,4027.28,57,3185.47
6519721442612380,3099.01,5172.42,68,2986.46
9101262512811820,7737.82,3294.13,27,3266.92
7122355688521560,6457.54,6604.3,61,961.55
2301024721865224,6629.85,15135.03,40,1478.27
6019645938955392,5438.55,10387.72,68,3098.08
9734431437261447,1799.77,4097.63,81,2998.14
3785986431597630,1339.6,17556.6,89,2531.65
1585533745485298,19766.73,17591.64,83,1752.07
6799170977464711,9127.69,17411.57,40,4564.66
1060072806379938,8302.21,4775.92,48,1698.85
6058993040929146,13913.3,9024.79,90,2278.1
6795546948308457,5146.82,19699.79,48,3390.57
2241239754963961,19049.26,15440.25,75,2715.11
3700576286231579,15940.56,543.35,70,1734.43
6726835733962952,2698.81,1304.09,2,2178.22
5634748384129803,8934.03,9278.63,9,3972.4
7117275084835872,17703.25,18184.4,97,1390.65
2508733409423862,18949.91,10774.04,88,711.28
9032579558649405,9880.63,9956.25,34,1565.82
9786024184013604,12654.82,2109.47,79,4247.67
3102689678707371,4173.64,13135.6,1,444.95
7464472421247701,19832.2,16442.06,23,4958.48
1105392318031394,5401.76,7608.4,73,2705.01
1866141929438946,18911.9,15512.24,37,4924.23
9367717157576622,13343.29,19289.53,21,4694.98
7533082694969986,12547.0,4075.33,25,2264.07
1790551960175620,10741.08,10466.59,42,992.46
5464950230221302,5382.73,5742.76,54,824.42
9473928625140109,4354.03,15857.09,38,1199.95
3642564701870874,5189.24,11551.87,90,3550.66
6015459702112462,4542.33,12691.65,28,1364.75
6440444140050265,15812.1,15958.28,19,1707.13
1525744538671995,7652.38,7919.41,90,2243.89
9661730131697330,2099.01,18301.8,40,4566.16
4305402088342367,19412.95,10660.58,53,946.97
4319315976805616,17791.93,3159.1,19,25.13
8215216764048380,18627.29,13917.98,18,300.48
5978999659681667,19903.25,15865.23,83,4523.83
7270365087775204,4304.01,6335.23,98,3237.58
5958344770689254,8528.6,17143.59,65,1365.2
5181359139686030,15406.53,18122.87,29,885.96
4321256132465180,14224.39,5538.09,52,1471.33
6211839489038860,3924.02,19670.43,33,573.98
6898465843298118,16500.83,2814.23,21,4707.66
4701757987089650,5264.37,4040.31,66,3921.03
2632044109420315,5252.53,3684.5,5,2311.96
1187198831176361,11202.51,17879.79,78,4324.81
